method,h,w,steps,workers,avg_metric_ms,avg_ms_per_step,ok
cpu,200,200,50,1,25.794,0.5160,True
cpu,200,200,50,6,8.933,0.1788,True
gpu,200,200,50,gpu,0.746,0.0150,True
mpi,200,200,50,2,9.717,0.1944,True
mpi,200,200,50,6,5.159,0.1032,True
cpu,400,400,50,1,101.150,2.0228,True
cpu,400,400,50,6,30.483,0.6096,True
gpu,400,400,50,gpu,0.736,0.0148,True
mpi,400,400,50,2,38.213,0.7642,True
mpi,400,400,50,6,19.315,0.3864,True
cpu,800,800,50,1,402.063,8.0414,True
cpu,800,800,50,6,120.787,2.4158,True
gpu,800,800,50,gpu,1.758,0.0352,True
mpi,800,800,50,2,152.604,3.0522,True
mpi,800,800,50,6,84.066,1.6814,True


# Detailed results (all repetitions)
run,method,h,w,steps,workers,metric_ms,avg_ms_per_step,ok,notes
1,cpu,200,200,50,1,27.026,0.5410,True,
2,cpu,200,200,50,6,9.230,0.1850,True,
3,gpu,200,200,50,gpu,0.732,0.0150,True,
4,mpi,200,200,50,2,9.724,0.1940,True,
5,mpi,200,200,50,6,5.974,0.1190,True,
6,cpu,400,400,50,1,99.518,1.9900,True,
7,cpu,400,400,50,6,29.822,0.5960,True,
8,gpu,400,400,50,gpu,0.726,0.0150,True,
9,mpi,400,400,50,2,38.168,0.7630,True,
10,mpi,400,400,50,6,18.526,0.3710,True,
11,cpu,800,800,50,1,401.478,8.0300,True,
12,cpu,800,800,50,6,121.464,2.4290,True,
13,gpu,800,800,50,gpu,1.113,0.0220,True,
14,mpi,800,800,50,2,149.563,2.9910,True,
15,mpi,800,800,50,6,79.820,1.5960,True,
16,cpu,200,200,50,1,24.988,0.5000,True,
17,cpu,200,200,50,6,8.548,0.1710,True,
18,gpu,200,200,50,gpu,0.900,0.0180,True,
19,mpi,200,200,50,2,9.684,0.1940,True,
20,mpi,200,200,50,6,6.227,0.1250,True,
21,cpu,400,400,50,1,102.692,2.0540,True,
22,cpu,400,400,50,6,33.311,0.6660,True,
23,gpu,400,400,50,gpu,0.774,0.0150,True,
24,mpi,400,400,50,2,38.881,0.7780,True,
25,mpi,400,400,50,6,21.093,0.4220,True,
26,cpu,800,800,50,1,398.707,7.9740,True,
27,cpu,800,800,50,6,128.297,2.5660,True,
28,gpu,800,800,50,gpu,1.642,0.0330,True,
29,mpi,800,800,50,2,151.430,3.0290,True,
30,mpi,800,800,50,6,85.476,1.7100,True,
31,cpu,200,200,50,1,25.485,0.5100,True,
32,cpu,200,200,50,6,8.953,0.1790,True,
33,gpu,200,200,50,gpu,0.602,0.0120,True,
34,mpi,200,200,50,2,9.051,0.1810,True,
35,mpi,200,200,50,6,3.594,0.0720,True,
36,cpu,400,400,50,1,100.471,2.0090,True,
37,cpu,400,400,50,6,32.627,0.6530,True,
38,gpu,400,400,50,gpu,0.691,0.0140,True,
39,mpi,400,400,50,2,37.775,0.7550,True,
40,mpi,400,400,50,6,15.021,0.3000,True,
41,cpu,800,800,50,1,402.018,8.0400,True,
42,cpu,800,800,50,6,115.703,2.3140,True,
43,gpu,800,800,50,gpu,1.693,0.0340,True,
44,mpi,800,800,50,2,163.033,3.2610,True,
45,mpi,800,800,50,6,85.634,1.7130,True,
46,cpu,200,200,50,1,25.563,0.5110,True,
47,cpu,200,200,50,6,8.737,0.1750,True,
48,gpu,200,200,50,gpu,0.609,0.0120,True,
49,mpi,200,200,50,2,11.051,0.2210,True,
50,mpi,200,200,50,6,3.693,0.0740,True,
51,cpu,400,400,50,1,101.099,2.0220,True,
52,cpu,400,400,50,6,28.983,0.5800,True,
53,gpu,400,400,50,gpu,0.736,0.0150,True,
54,mpi,400,400,50,2,37.905,0.7580,True,
55,mpi,400,400,50,6,18.850,0.3770,True,
56,cpu,800,800,50,1,402.784,8.0560,True,
57,cpu,800,800,50,6,127.735,2.5550,True,
58,gpu,800,800,50,gpu,1.436,0.0290,True,
59,mpi,800,800,50,2,146.455,2.9290,True,
60,mpi,800,800,50,6,90.780,1.8160,True,
61,cpu,200,200,50,1,25.906,0.5180,True,
62,cpu,200,200,50,6,9.195,0.1840,True,
63,gpu,200,200,50,gpu,0.885,0.0180,True,
64,mpi,200,200,50,2,9.077,0.1820,True,
65,mpi,200,200,50,6,6.308,0.1260,True,
66,cpu,400,400,50,1,101.968,2.0390,True,
67,cpu,400,400,50,6,27.674,0.5530,True,
68,gpu,400,400,50,gpu,0.755,0.0150,True,
69,mpi,400,400,50,2,38.334,0.7670,True,
70,mpi,400,400,50,6,23.085,0.4620,True,
71,cpu,800,800,50,1,405.329,8.1070,True,
72,cpu,800,800,50,6,110.736,2.2150,True,
73,gpu,800,800,50,gpu,2.905,0.0580,True,
74,mpi,800,800,50,2,152.541,3.0510,True,
75,mpi,800,800,50,6,78.622,1.5720,True,
